,Unique Probes,Total Entries,Match
2_JAG2_+,10468,10468,True
3_JAG2_+,10406,10406,True
4_JAG2_+,10443,10443,True
5_JAG2_+,10370,10370,True
1_GAN_LAT_NSF_RAN_SET_TAT_TRO_+,10161,10161,True
2_GAN_LAT_NSF_RAN_SET_TAT_TRO_+,10118,10118,True
3_GAN_LAT_NSF_RAN_SET_TAT_TRO_+,10225,10225,True
4_GAN_LAT_NSF_RAN_SET_TAT_TRO_+,10192,10192,True
5_GAN_LAT_NSF_RAN_SET_TAT_TRO_+,10155,10155,True
1_PHOX2B_-,10119,10119,True
2_PHOX2B_-,10168,10168,True
3_PHOX2B_-,10176,10176,True
1_PAEP_+,10458,10458,True
2_PAEP_+,10589,10589,True
3_PAEP_+,10582,10582,True
4_PAEP_+,10588,10588,True
5_PAEP_+,10588,10588,True
1_INA_+,10824,20393,False
2_INA_+,9993,9993,True
3_INA_+,10097,10097,True
4_INA_+,10097,10097,True
1_NES_+,10830,19124,False
2_NES_+,8650,8650,True
3_NES_+,8480,8480,True
4_NES_+,8600,8600,True
1_MSC_+,4519,4519,True
2_MSC_+,4242,4242,True
3_MSC_PLG_+,4321,4321,True
1_XIAP_-,10466,10466,True
2_XIAP_-,10499,10499,True
3_XIAP_-,10517,10517,True
4_XIAP_-,10456,10456,True
1_BORA_GNAL_+,9443,9443,True
1_RAN_+,10920,51444,False
1_NOTHING_-,10921,71639,False
2_MYC_+,10916,40513,False
3_MYC_+,10900,30321,False
4_MYC_+,10839,20250,False
1_SERPINB4_+,10444,10444,True
2_SERPINB4_+,10420,10420,True
2_RAN_+,10848,31163,False
1_ACR_ERF_FER_LAT_NTS_WAS_+,5229,5229,True
2_ACR_ERF_FER_LAT_NTS_WAS_+,5525,5525,True
3_ACR_ERF_FER_LAT_NTS_WAS_+,5310,5310,True
4_ACR_ERF_FER_LAT_NTS_WAS_+,5033,5033,True
5_ACR_ERF_FER_LAT_NTS_WAS_+,5266,5266,True
6_ACR_ERF_FER_LAT_NTS_WAS_+,5043,5043,True
7_ACR_ERF_FER_LAT_NTS_WAS_+,4925,4925,True
1_KIN_SKI_STS_VIT_+,10122,10122,True
2_KIN_SKI_STS_VIT_+,10108,10108,True
1_ERAS_+,10130,10130,True
1_IFNG_IL10_-,9495,9495,True
2_IFNG_IL10_-,9490,9490,True
3_IFNG_IL10_-,9486,9486,True
4_IFNG_IL10_-,9501,9501,True
5_IFNG_IL10_-,9492,9492,True
6_IFNG_IL10_-,9506,9506,True
7_IFNG_IL10_-,9496,9496,True
8_IFNG_IL10_-,9479,9479,True
1_LAT_TES_WAS_+,10143,10143,True
2_LAT_TES_WAS_+,10227,10227,True
3_LAT_TES_WAS_+,10238,10238,True
4_LAT_TES_WAS_+,10144,10144,True
5_LAT_TES_WAS_+,10130,10130,True
6_LAT_TES_WAS_+,10192,10192,True
1_STOM_+,10887,30190,False
1_RAN_SET_TES_WAS_+,8865,8865,True
1_CAMP_-,10182,10182,True
2_CAMP_-,10188,10188,True
1_COMP_DERA_MALL_STIL_-,9760,9760,True
2_COMP_DERA_MALL_STIL_-,9791,9791,True
3_COMP_DERA_MALL_STIL_-,9786,9786,True
4_COMP_DERA_MALL_STIL_-,9724,9724,True
5_COMP_DERA_MALL_STIL_-,9724,9724,True
1_IL2_-,10356,10356,True
2_IL2_-,10357,10357,True
3_IL2_-,10385,10385,True
1_FER_LIF_MET_SMO_+,10345,10345,True
2_FER_LIF_MET_SMO_+,10381,10381,True
1_HMGB2_+,9230,9230,True
1_POU5F1_-,10412,10412,True
2_POU5F1_-,10370,10370,True
1_CD34_COMP_-,10315,10315,True
2_CD34_COMP_-,10306,10306,True
3_CD34_COMP_-,10226,10226,True
4_CD34_COMP_-,10272,10272,True
1_NANOG_+,10889,21249,False
2_NANOG_+,10891,21272,False
3_NANOG_+,10646,10646,True
4_NANOG_+,10646,10646,True
5_NANOG_+,10636,10636,True
1_FOXF2_-,10508,10508,True
